names,descriptions,statuses,bill_committees,sponsors
H.R.1997,Ukraine Cybersecurity Cooperation Act of 2017,Passed House,Foreign Affairs | Senate,"Rep. Boyle, Brendan F. [D-PA-13]"
H.R.1996,Tax Refund Protection Act of 2017,Introduced,Ways and Means; Financial Services,"Rep. Bonamici, Suzanne [D-OR-1]"
H.R.1995,V-BID for Better Care Act of 2017,Introduced,Ways and Means; Energy and Commerce,"Rep. Black, Diane [R-TN-6]"
H.R.1994,VETERAN Act,Introduced,Veterans' Affairs,"Rep. Bilirakis, Gus M. [R-FL-12]"
H.R.1993,Homeless Veterans Legal Services Act,Introduced,Veterans' Affairs,"Rep. Beatty, Joyce [D-OH-3]"
H.R.1992,Camp Nelson Heritage Park Study Act,Introduced,Natural Resources,"Rep. Barr, Andy [R-KY-6]"
H.R.1991,Protecting Volunteer Firefighters and Emergency Responders Act,Introduced,Ways and Means,"Rep. Barletta, Lou [R-PA-11]"
H.R.1990,"To amend title 23, United States Code, to allow food concessions at State-owned interstate rest areas.",Introduced,Transportation and Infrastructure,"Rep. Banks, Jim [R-IN-3]"
H.R.1989,VET TEC Act,Introduced,Veterans' Affairs,"Rep. McCarthy, Kevin [R-CA-23]"
H.R.1988,"To designate the facility of the United States Postal Service located at 1730 18th Street in Bakersfield, California, as the ""Merle Haggard Post Office Building"".",Became Law,Oversight and Government | Senate,"Rep. McCarthy, Kevin [R-CA-23]"
H.R.1987,Oversight Commission on Presidential Capacity Act,Introduced,Judiciary; Rules,"Rep. Raskin, Jamie [D-MD-8]"
H.R.1986,Transportation Security Administration Ombudsman Act of 2017,Introduced,Homeland Security,"Rep. Jackson Lee, Sheila [D-TX-18]"
H.R.1985,Justice for Children Now Act of 2017,Introduced,Judiciary,"Rep. Jackson Lee, Sheila [D-TX-18]"
H.R.1984,Triple-Negative Breast Cancer Research and Education Act of 2017,Introduced,Energy and Commerce,"Rep. Jackson Lee, Sheila [D-TX-18]"
H.R.1983,David's Law,Introduced,Judiciary,"Rep. Jackson Lee, Sheila [D-TX-18]"
H.R.1982,Mental Health Access and Gun Violence Prevention Act of 2017,Introduced,Energy and Commerce; Judiciary; Ways and Means,"Rep. Jackson Lee, Sheila [D-TX-18]"
H.R.1981,Cyber Security Education and Federal Workforce Enhancement Act,Introduced,"Education and the Workforce; Science, Space, and Technology; Homeland Security","Rep. Jackson Lee, Sheila [D-TX-18]"
