names,descriptions,statuses,bill_committees,sponsors
H.R.5756,Resiliency Enhancement Act of 2020,Introduced,Transportation and Infrastructure,Stacey E. Plaskett
H.R.5755,No Pensions for Corrupt Politicians Act of 2020,Introduced,House Administration; Oversight and Reform,Josh Harder
H.R.5754,Rural ER Access Act,Introduced,Energy and Commerce; Ways and Means,Mark E. Green
H.R.5753,"To modify the authorization for a project for navigation, and for other purposes.",Introduced,Transportation and Infrastructure,Mike Gallagher
H.R.5752,Conveyance Capacity Correction Act,Introduced,Natural Resources,Jim Costa
H.R.5751,Electric Vehicles for Underserved Communities Act of 2020,Introduced,"Energy and Commerce; Science, Space, and Technology",Yvette D. Clarke
H.R.5750,Streamlining GI Bill Processing Act of 2020,Introduced,Veterans'' Affairs,Gus M. Bilirakis
H.R.5749,Affordable Insulin for All Act,Introduced,Energy and Commerce; Ways and Means,Charlie Crist
H.R.5748,"Jobs, On-the-Job ""Earn-While-You-Learn"" Training, and Apprenticeships for Young African-Americans Act",Introduced,Education and Labor,David Scott
H.R.5747,St. Croix National Heritage Area Act,Introduced,Natural Resources,Stacey E. Plaskett
H.R.5746,To amend the Internal Revenue Code of 1986 to provide special rules for purposes of determining if financial guaranty insurance companies are qualifying insurance corporations under the passive foreign investment company rules.,Introduced,Ways and Means,Gwen Moore
H.R.5745,Bridge Investment Act of 2020,Introduced,Transportation and Infrastructure,Sean Patrick Maloney
H.R.5744,Clearing Lines along Electrical At-Risk Zones Act,Introduced,Natural Resources; Agriculture,Doug LaMalfa
H.R.5743,Protecting the Silos & Smokestacks National Heritage Area Act,Introduced,Natural Resources,Abby Finkenauer
H.R.5742,Energy PRICE Act,Introduced,Energy and Commerce,Sean Casten
H.R.5741,Strengthening Innovation in Medicare and Medicaid Act,Introduced,Energy and Commerce; Ways and Means; Rules,Terri A. Sewell
H.R.5740,Save Our Girls from Sex Trafficking Act of 2020,Introduced,Judiciary; Education and Labor; Energy and Commerce; Financial Services,Frederica S. Wilson
H.R.5739,Blast Exposure Protection Act of 2020,Introduced,Veterans'' Affairs,Nydia M. Velazquez
H.R.5738,To direct the Secretary of Defense to implement a safe-to-report policy applicable across the Armed Forces.,Introduced,Armed Services,Jackie Speier
H.R.5737,Voluntary Grazing Permit Retirement Act,Introduced,Natural Resources,Adam Smith
H.R.5736,Transnational White Supremacist Extremism Review Act,Introduced,Homeland Security,Max Rose
H.R.5735,Judicial Branch Senior Executive Leave Efficiency and Modernization Act of 2020,Introduced,Judiciary; Oversight and Reform,Jamie Raskin
H.R.5734,Neighbors Not Enemies Act,Introduced,Judiciary,Ilhan Omar
H.R.5733,FIRM Act,Introduced,Judiciary,Seth Moulton
H.R.5732,LEAD VA Act,Introduced,Veterans'' Affairs; Armed Services,Brian J. Mast
H.R.5731,Transportation Funding Accountability and Transparency Act,Introduced,Transportation and Infrastructure,Tom Malinowski
H.R.5730,National Strategy for Pandemic Influenza Update Act,Introduced,Energy and Commerce; Armed Services; Foreign Affairs; Intelligence (Permanent); Agriculture,Rick Larsen
H.R.5729,Protecting Americans from Seasonal Influenza Act of 2020,Introduced,Energy and Commerce,Rick Larsen
H.R.5728,Food Safety Modernization for Innovative Technologies Act,Introduced,Energy and Commerce; Agriculture,Dusty Johnson
H.R.5727,RESEARCH Act of 2020,Introduced,Ways and Means; Energy and Commerce,Bobby L. Rush
H.R.5726,Senior Housing IRA Act of 2020,Introduced,Ways and Means,Josh Gottheimer
H.R.5725,Hong Kong Be Water Act,Introduced,Foreign Affairs; Judiciary,Mike Gallagher
H.R.5724,Same-Day Accountability for Veterans Enhancement Act,Introduced,Veterans'' Affairs,Tom Emmer
H.R.5723,Public Health Emergency Fund Act,Introduced,Appropriations; Budget,Rosa L. DeLauro
H.R.5722,BRAVE Act,Introduced,Education and Labor,Matt Cartwright
H.R.5721,Resources to Prevent Youth Vaping Act,Introduced,Energy and Commerce,Cheri Bustos
H.R.5720,"To amend the Fair Credit Reporting Act to prohibit the creation and sale of trigger leads, and for other purposes.",Introduced,Financial Services,Wm. Lacy Clay
H.R.5719,CLOSE Act,Introduced,Agriculture,Jodey C. Arrington
H.R.5718,Protecting Natural Gas Consumers from Overcharges Act of 2020,Introduced,Energy and Commerce,G. K. Butterfield
H.R.5717,"To end the epidemic of gun violence and build safer communities by strengthening Federal firearms laws and supporting gun violence research, intervention, and prevention initiatives.",Introduced,Judiciary; Energy and Commerce; Ways and Means,"Henry C. ""Hank"" Johnson Jr."
H.R.5716,SAFER Voter Act,Introduced,Judiciary,Thomas Massie
H.R.5715,Petfax Act of 2020,Introduced,Agriculture; Energy and Commerce,Charlie Crist
H.R.5714,Safeguarding Readiness in Military Aviation Training Act,Introduced,Armed Services,Scott R. Tipton
H.R.5713,Safe Bases Act,Introduced,Armed Services,W. Gregory Steube
H.R.5712,Nationwide Right to Unionize Act,Introduced,Education and Labor,Brad Sherman
H.R.5711,"To designate the facility of the United States Postal Service located at 1 League in Irvine, California, as the ""Tuskegee Airman Lieutenant Colonel Robert J. Friend Memorial Post Office Building"".",Introduced,Oversight and Reform,Katie Porter
H.R.5710,Workforce Mobility Act of 2020,Introduced,Energy and Commerce; Education and Labor,Scott H. Peters
H.R.5709,Climate Resilient Communities Act,Introduced,Transportation and Infrastructure,Joe Neguse
H.R.5708,Empowering Immigration Courts Act,Introduced,Judiciary,Mike Gallagher
H.R.5707,Protect American Voters Act,Introduced,"House Administration; Science, Space, and Technology",Rodney Davis
H.R.5706,Danger Pay for U.S. Marshals Act,Introduced,Foreign Affairs; Oversight and Reform,Ben Cline
H.R.5705,Increasing Access and Multiple Use Act of 2020,Introduced,Natural Resources; Agriculture,Liz Cheney
H.R.5704,COAL TeCC Act of 2020,Introduced,"Science, Space, and Technology",Liz Cheney
H.R.5703,PRIVCY ACT,Introduced,Energy and Commerce,Kathy Castor
H.R.5702,Protection of Women and Girls in Sports Act of 2020,Introduced,Education and Labor,W. Gregory Steube
H.R.5701,Care for the Veteran Caregiver Act,Introduced,Veterans'' Affairs,Richard Hudson
H.R.5700,Resilient Highways Act,Introduced,Transportation and Infrastructure,Andy Kim
H.R.5699,Voluntary Checkoff Program Participation Act,Introduced,Agriculture,Denver Riggleman
H.R.5698,Promoting Secure 5G Act of 2020,Introduced,Financial Services,William R. Timmons IV
H.R.5697,Veterans'' ACCESS Act of 2020,Introduced,Veterans'' Affairs,Mark Takano
H.R.5696,Connecting America''s Active Transportation System Act,Introduced,Transportation and Infrastructure,Chris Pappas
H.R.5695,Offshore Accountability Act of 2020,Introduced,Natural Resources,A. Donald McEachin
H.R.5694,Endangered Species Transparency and Reasonableness Act of 2020,Introduced,Natural Resources,Tom McClintock
H.R.5693,Primary Health Services Enhancement Act,Introduced,Energy and Commerce; Ways and Means,Ron Kind
H.R.5692,"To direct the Secretary of Transportation to issue regulations to modify the gross combination weight rating of a vehicle covered under Group B, and for other purposes.",Introduced,Transportation and Infrastructure,Louie Gohmert
