session,roll_num,date,issue,question,result,title
115,168,29-Apr,H R 91,On Motion to Suspend the Rules and Pass,P,Columbia River In-Lieu and Treaty Fishing Access Sites Improvement Act
115,167,10-Apr,H R 1644,On Passage,P,Save the Internet Act
115,166,10-Apr,H R 1644,On Motion to Recommit with Instructions,F,Save the Internet Act
115,165,10-Apr,H R 1644,On Agreeing to the Amendment,A,McAdams of Utah Part A Amendment No. 12
115,164,10-Apr,H R 1644,On Agreeing to the Amendment,A,Wexton of Virginia Part A Amendment No. 6
115,163,10-Apr,H R 1644,On Agreeing to the Amendment,A,Delgado of New York Part A Amendment No. 4
115,162,9-Apr,H R 1759,"On Motion to Suspend the Rules and Pass, as Amended",P,Building on Reemployment Improvements to Deliver Good Employment for Workers Act
115,161,9-Apr,H RES 294,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 1644, Save the Internet Act; and providing for consideration of H.R. 2021, Investing for the People Act"
115,160,9-Apr,H RES 294,On Ordering the Previous Question,P,"Providing for consideration of H.R. 1644, Save the Internet Act; and providing for consideration of H.R. 2021, Investing for the People Act"
115,159,8-Apr,JOURNAL,On Approving the Journal,P, 
115,158,8-Apr,H R 1331,On Motion to Suspend the Rules and Pass,P,Local Water Protection Act
115,157,8-Apr,H CON RES 19,On Motion to Suspend the Rules and Agree,P,Authorizing the use of the Capitol Grounds for the Greater Washington Soap Box Derby
115,156,4-Apr,H R 1585,On Passage,P,Violence Against Women Reauthorization Act
115,155,4-Apr,H R 1585,On Motion to Recommit with Instructions,F,Violence Against Women Reauthorization Act
115,154,4-Apr,H R 1585,On Agreeing to the Amendment,A,Torres Small of New Mexico Part B Amendment No. 40
115,153,4-Apr,S J RES 7,On Passage,P,To direct the removal of the United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress
115,152,4-Apr,S J RES 7,On Motion to Commit with Instructions,F,To direct the removal of the United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress
115,151,4-Apr,H R 829,On Motion to Suspend the Rules and Pass,P,"To designate the facility of the United States Postal Service located at 1450 Montauk Highway in Mastic, New York, as the Army Specialist Thomas J. Wilwerth Post Office Building"
115,150,3-Apr,H R 1585,On Agreeing to the Amendment,A,Wagner of Missouri Part B Amendment No. 10
115,149,3-Apr,H R 1585,On Agreeing to the Amendment,A,Waters of California Part B Amendment No. 7
115,148,3-Apr,H R 1585,On Agreeing to the Amendment,A,Scanlon of Pennsylvania Part B Amendment No. 2
115,147,3-Apr,H R 1585,On Agreeing to the Amendment,A,Jeffries of New York Part B Amendment No. 1
115,146,3-Apr,H RES 271,On Agreeing to the Resolution,P,Condemning the Trump Administrations Legal Campaign to Take Away Americans Health Care
115,145,3-Apr,H RES 281,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 1585) to reauthorize the Violence Against Women Act of 1994, and for other purposes"
115,144,3-Apr,H RES 281,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 1585) to reauthorize the Violence Against Women Act of 1994, and for other purposes"
115,143,2-Apr,JOURNAL,On Approving the Journal,P, 
115,142,2-Apr,H R 540,On Motion to Suspend the Rules and Pass,P,"To designate the facility of the United States Postal Service located at 770 Ayrault Road in Fairport, New York, as the Louise and Bob Slaughter Post Office"
115,141,2-Apr,H RES 274,On Agreeing to the Resolution,P,Consideration of (S.J.Res. 7) to direct the removal of the United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress; consideration of (H.Res. 271) Condemning the Trump Administrations Legal Campaign to Take Away Americans Health Care; and suspension authority.
115,140,2-Apr,H RES 274,On Ordering the Previous Question,P,Consideration of (S.J.Res. 7) to direct the removal of the United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress; consideration of (H.Res. 271) Condemning the Trump Administrations Legal Campaign to Take Away Americans Health Care; and suspension authority.
115,139,1-Apr,JOURNAL,On Approving the Journal,P, 
115,138,1-Apr,H R 1590,"On Motion to Suspend the Rules and Pass, as Amended",P,Terrorist and Foreign Fighter Travel Exercise Act
115,137,1-Apr,H R 1593,"On Motion to Suspend the Rules and Pass, as Amended",P,Coordinating and Leveraging Activities for School Security Act
115,136,28-Mar,JOURNAL,On Approving the Journal,P, 
115,135,28-Mar,H RES 124,On Agreeing to the Resolution,P,Expressing opposition to banning service in the Armed Forces by openly transgender individuals
115,134,27-Mar,H R 7,On Passage,P,Paycheck Fairness Act
115,133,27-Mar,H R 7,On Motion to Recommit with Instructions,F,Paycheck Fairness Act
115,132,27-Mar,H R 7,On Agreeing to the Amendment,A,Beyer of Virginia Part B Amendment No. 7
115,131,27-Mar,H RES 252,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 7, the Paycheck Fairness Act; H. Res. 124, expressing opposition to banning service in the Amred Forces by openly transgender individuals"
115,130,27-Mar,H RES 252,On Ordering the Previous Question,P,"Providing for consideration of H.R. 7, the Paycheck Fairness Act; H. Res. 124, expressing opposition to banning service in the Amred Forces by openly transgender individuals"
115,129,26-Mar,H R 297,On Motion to Suspend the Rules and Pass,P,Little Shell Tribe of Chippewa Indians Restoration Act
115,128,26-Mar,H R 1388,On Motion to Suspend the Rules and Pass,P,Lytton Rancheria Homelands Act
115,127,26-Mar,H J RES 46,"On Passage, Objections of the President to the Contrary Notwithstanding",F,"Relating to a national emergency declared by the President on February 15, 2019"
115,126,25-Mar,H R 1616,"On Motion to Suspend the Rules and Pass, as Amended",P,European Energy Security and Diversification Act
115,125,14-Mar,H CON RES 24,On Agreeing to the Resolution,P,Expressing the sense of Congress that the report of Special Counsel Mueller should be made available to the public and to Congress
