names,descriptions,statuses,bill_committees,sponsors
S.1529,Supporting Victims of Iranian Terrorism Act of 2019,Introduced,Foreign Relations,Tom Cotton
S.1528,"A bill to amend title 31, United States Code, to provide for the issuance of Green Bonds and to establish the United States Green Bank, and for other purposes.",Introduced,Finance,Christopher Murphy
S.1527,RTP Funding Transparency Act,Introduced,Environment and Public Works,Amy Klobuchar
S.1526,Prevention of Sexual Assault in the Armed Forces Act,Introduced,Armed Services,Kyrsten Sinema
S.1525,Student Protection and Success Act,Introduced,"Health, Education, Labor, and Pensions",Jeanne Shaheen
S.1524,Real Education for Healthy Youth Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Cory A. Booker
S.1523,Stop Arctic Ocean Drilling Act of 2019,Introduced,Energy and Natural Resources,Jeff Merkley
S.1522,Broadband Data Improvement Act of 2019,Introduced,"Commerce, Science, and Transportation",Shelley Moore Capito
S.1521,A bill to amend section 327 of the Robert T. Stafford Disaster Relief and Emergency Assistance Act to clarify that National Urban Search and Rescue Response System task forces may include Federal employees.,Introduced,Homeland Security and Governmental Affairs,Josh Hawley
S.1520,National Flood Insurance Program Extension Act of 2019,Introduced,"Banking, Housing, and Urban Affairs",John Kennedy
S.1519,Protecting Communities and Preserving the Second Amendment Act of 2019,Introduced,Judiciary,Chuck Grassley
S.1518,Rebuild America Now Act,Introduced,Environment and Public Works,Dan Sullivan
S.1517,Building U.S. Infrastructure by Leveraging Demands for Skills,Introduced,"Health, Education, Labor, and Pensions",Tim Kaine
S.1516,Promoting Readiness in Education to Prevent Additional Remediation and Expense Act,Introduced,"Health, Education, Labor, and Pensions",Doug Jones
S.1515,Rural Reasonable and Comparable Wireless Access Act of 2019,Introduced,"Commerce, Science, and Transportation",Margaret Wood Hassan
S.1514,Help Students Vote Act,Introduced,"Health, Education, Labor, and Pensions",Cory A. Booker
S.1513,Better Military Housing Act of 2019,Introduced,Armed Services,Catherine Cortez Masto
S.1512,Rural Servicemembers Support Act of 2019,Introduced,Armed Services,Catherine Cortez Masto
S.1511,Supporting Our Pilots Act,Introduced,Armed Services,Catherine Cortez Masto
S.1510,Employee Flexibility Act,Introduced,Finance,Todd Young
S.1509,Safe Routes Act of 2019,Introduced,Environment and Public Works,Ron Johnson
S.1508,Thin Blue Line Act,Introduced,Judiciary,Pat Toomey
S.1507,PFAS Release Disclosure and Protection Act of 2019,Introduced,Environment and Public Works,Shelley Moore Capito
S.1506,"A bill to amend title 18, United States Code, to permit certain individuals complying with State law to possess firearms.",Introduced,Judiciary,Mike Rounds
S.1505,Medicare Prescription Drug Fraud Prevention Act of 2019,Introduced,Finance,John Cornyn
S.1504,Probation Officer Protection Act of 2019,Introduced,Judiciary,Thom Tillis
S.1503,Department of Defense Ethics and Anti-corruption Act of 2019,Introduced,Armed Services,Elizabeth Warren
S.1502,Access to Capital Creates Economic Strength and Supports Rural America Act,Introduced,"Banking, Housing, and Urban Affairs",Tammy Baldwin
S.1501,Blast Pressure Exposure Study Improvement Act,Introduced,Armed Services,Elizabeth Warren
