Name,State,District,Party,Terms
Josh Harder,CA,10,D,House: 2019-Present
Andy Harris,MD,1,R,House: 2011-Present
Vicky Hartzler,MO,4,R,House: 2011-Present
Alcee L. Hastings,FL,20,D,House: 1993-Present
Jahana Hayes,CT,5,D,House: 2019-Present
Denny Heck,WA,10,D,House: 2013-Present
Kevin Hern,OK,1,R,House: 2018-Present
Jaime Herrera Beutler,WA,3,R,House: 2011-Present
Jody B. Hice,GA,10,R,House: 2015-Present
Brian Higgins,NY,26,D,House: 2005-Present
Clay Higgins,LA,3,R,House: 2017-Present
J. French Hill,AR,2,R,House: 2015-Present
Katie Hill,CA,25,D,House: 2019
James A. Himes,CT,4,D,House: 2009-Present
George Holding,NC,2,R,House: 2013-Present
Trey Hollingsworth,IN,9,R,House: 2017-Present
Kendra S. Horn,OK,5,D,House: 2019-Present
Steven Horsford,NV,4,D,"House: 2013-2015, 2019-Present"
Chrissy Houlahan,PA,6,D,House: 2019-Present
Steny H. Hoyer,MD,5,D,House: 1981-Present
Richard Hudson,NC,8,R,House: 2013-Present
Jared Huffman,CA,2,D,House: 2013-Present
Bill Huizenga,MI,2,R,House: 2011-Present
Duncan D. Hunter,CA,50,R,House: 2009-2020
Will Hurd,TX,23,R,House: 2015-Present
Sheila Jackson Lee,TX,18,D,House: 1995-Present
Pramila Jayapal,WA,7,D,House: 2017-Present
Hakeem S. Jeffries,NY,8,D,House: 2013-Present
Bill Johnson,OH,6,R,House: 2011-Present
Dusty Johnson,SD,'At Large',R,House: 2019-Present
Eddie Bernice Johnson,TX,30,D,House: 1993-Present
"Henry C. ""Hank"" Johnson Jr.",GA,4,D,House: 2007-Present
Mike Johnson,LA,4,R,House: 2017-Present
Walter B. Jones Jr.,NC,3,R,House: 1995-2019
Jim Jordan,OH,4,R,House: 2007-Present
David P. Joyce,OH,14,R,House: 2013-Present
John Joyce,PA,13,R,House: 2019-Present
Marcy Kaptur,OH,9,D,House: 1983-Present
John Katko,NY,24,R,House: 2015-Present
William R. Keating,MA,9,D,House: 2011-Present
Fred Keller,PA,12,R,House: 2019-Present
Mike Kelly,PA,16,R,House: 2011-Present
Robin L. Kelly,IL,2,D,House: 2013-Present
Trent Kelly,MS,1,R,House: 2015-Present
Joseph P. Kennedy III,MA,4,D,House: 2013-Present
Ro Khanna,CA,17,D,House: 2017-Present
Daniel T. Kildee,MI,5,D,House: 2013-Present
Derek Kilmer,WA,6,D,House: 2013-Present
Andy Kim,NJ,3,D,House: 2019-Present
Ron Kind,WI,3,D,House: 1997-Present
Peter T. King,NY,2,R,House: 1993-Present
Steve King,IA,4,R,House: 2003-Present
Adam Kinzinger,IL,16,R,House: 2011-Present
Ann Kirkpatrick,AZ,2,D,"House: 2009-2011, 2013-2017, 2019-Present"
Raja Krishnamoorthi,IL,8,D,House: 2017-Present
Ann M. Kuster,NH,2,D,House: 2013-Present
David Kustoff,TN,8,R,House: 2017-Present
Darin LaHood,IL,18,R,House: 2015-Present
Doug LaMalfa,CA,1,R,House: 2013-Present
Conor Lamb,PA,17,D,House: 2018-Present
Doug Lamborn,CO,5,R,House: 2007-Present
James R. Langevin,RI,2,D,House: 2001-Present
Rick Larsen,WA,2,D,House: 2001-Present
John B. Larson,CT,1,D,House: 1999-Present
Robert E. Latta,OH,5,R,House: 2007-Present
Brenda L. Lawrence,MI,14,D,House: 2015-Present
Al Lawson Jr.,FL,5,D,House: 2017-Present
Barbara Lee,CA,13,D,House: 1997-Present
Susie Lee,NV,3,D,House: 2019-Present
Debbie Lesko,AZ,8,R,House: 2018-Present
Andy Levin,MI,9,D,House: 2019-Present
Mike Levin,CA,49,D,House: 2019-Present
John Lewis,GA,5,D,House: 1987-Present
Ted Lieu,CA,33,D,House: 2015-Present
Daniel Lipinski,IL,3,D,House: 2005-Present
David Loebsack,IA,2,D,House: 2007-Present
Zoe Lofgren,CA,19,D,House: 1995-Present
Billy Long,MO,7,R,House: 2011-Present
Barry Loudermilk,GA,11,R,House: 2015-Present
Alan S. Lowenthal,CA,47,D,House: 2013-Present
Nita M. Lowey,NY,17,D,House: 1989-Present
Frank D. Lucas,OK,3,R,House: 1993-Present
Blaine Luetkemeyer,MO,3,R,House: 2009-Present
Ben Ray Lujan,NM,3,D,House: 2009-Present
Elaine G. Luria,VA,2,D,House: 2019-Present
Stephen F. Lynch,MA,8,D,House: 2001-Present
Tom Malinowski,NJ,7,D,House: 2019-Present
Carolyn B. Maloney,NY,12,D,House: 1993-Present
Sean Patrick Maloney,NY,18,D,House: 2013-Present
Kenny Marchant,TX,24,R,House: 2005-Present
Tom Marino,PA,12,R,House: 2011-2019
Roger W. Marshall,KS,1,R,House: 2017-Present
Thomas Massie,KY,4,R,House: 2012-Present
Brian J. Mast,FL,18,R,House: 2017-Present
Doris O. Matsui,CA,6,D,House: 2005-Present
Ben McAdams,UT,4,D,House: 2019-Present
Lucy McBath,GA,6,D,House: 2019-Present
Kevin McCarthy,CA,23,R,House: 2007-Present
Michael T. McCaul,TX,10,R,House: 2005-Present
Tom McClintock,CA,4,R,House: 2009-Present
Betty McCollum,MN,4,D,House: 2001-Present
A. Donald McEachin,VA,4,D,House: 2017-Present
James P. McGovern,MA,2,D,House: 1997-Present
Patrick T. McHenry,NC,10,R,House: 2005-Present
David B. McKinley,WV,1,R,House: 2011-Present
Cathy McMorris Rodgers,WA,5,R,House: 2005-Present
Jerry McNerney,CA,9,D,House: 2007-Present
Mark Meadows,NC,11,R,House: 2013-Present
Gregory W. Meeks,NY,5,D,House: 1997-Present
Grace Meng,NY,6,D,House: 2013-Present
Daniel Meuser,PA,9,R,House: 2019-Present
Carol D. Miller,WV,3,R,House: 2019-Present
Paul Mitchell,MI,10,R,House: 2017-Present
John R. Moolenaar,MI,4,R,House: 2015-Present
Alexander X. Mooney,WV,2,R,House: 2015-Present
Gwen Moore,WI,4,D,House: 2005-Present
Joseph D. Morelle,NY,25,D,House: 2018-Present
