names,descriptions,statuses,bill_committees,sponsors
S.2454,Go Pack Go Act of 2019,Introduced,"Commerce, Science, and Transportation","Sen. Baldwin, Tammy [D-WI]"
S.2453,SAVE Right Whales Act,Introduced,"Commerce, Science, and Transportation","Sen. Booker, Cory A. [D-NJ]"
S.2452,Climate Stewardship Act of 2019,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Booker, Cory A. [D-NJ]"
S.2451,SFC Richard Stayskal Military Medical Accountability Act of 2019,Introduced,Judiciary,"Sen. Kennedy, John [R-LA]"
S.2450,Protecting Immigrant Gold Star and Military Families Act,Introduced,Judiciary,"Sen. Booker, Cory A. [D-NJ]"
S.2449,Federal Firearm Licensing Act,Introduced,Judiciary,"Sen. Booker, Cory A. [D-NJ]"
S.2448,Secure E-Waste Export and Recycling Act,Introduced,"Banking, Housing, and Urban Affairs","Sen. Whitehouse, Sheldon [D-RI]"
S.2447,American Energy Opportunity Act of 2019,Introduced,Energy and Natural Resources,"Sen. Heinrich, Martin [D-NM]"
S.2446,Medicare Audiologist Access and Services Act of 2019,Introduced,Finance,"Sen. Warren, Elizabeth [D-MA]"
S.2445,Fair Share for Workers Act,Introduced,Finance,"Sen. Merkley, Jeff [D-OR]"
S.2444,Border Officers Utilization for National Defense Act of 2019,Introduced,Homeland Security and Governmental Affairs,"Sen. Schumer, Charles E. [D-NY]"
S.2443,Investment in Tomorrow's Pediatric Health Care Workforce Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Reed, Jack [D-RI]"
S.2442,"A bill to amend the Small Business Act to require the Small Business and Agriculture Regulatory Enforcement Ombudsman to create a centralized website for compliance guides, and for other purposes.",Introduced,Small Business and Entrepreneurship,"Sen. Cornyn, John [R-TX]"
S.2441,Health Savings Account Expansion Act of 2019,Introduced,Finance,"Sen. Sasse, Ben  [R-NE]"
S.2440,Qualified Health Savings Account Distribution Act of 2019,Introduced,Finance,"Sen. Sasse, Ben  [R-NE]"
S.2439,Trademark Licensing Protection Act of 2019,Introduced,Judiciary,"Sen. King, Angus S., Jr. [I-ME]"
