Name,State,District,Party,Terms
Daniel T. Kildee,MI,5.0,D,House: 2013-Present
Derek Kilmer,WA,6.0,D,House: 2013-Present
Ron Kind,WI,3.0,D,House: 1997-Present
Peter T. King,NY,2.0,R,House: 1993-Present
Steve King,IA,4.0,R,House: 2003-Present
Adam Kinzinger,IL,16.0,R,House: 2011-Present
Stephen Knight,CA,25.0,R,House: 2015-2019
Raja Krishnamoorthi,IL,8.0,D,House: 2017-Present
Ann M. Kuster,NH,2.0,D,House: 2013-Present
David Kustoff,TN,8.0,R,House: 2017-Present
Raul R. Labrador,ID,1.0,R,House: 2011-2019
Darin LaHood,IL,18.0,R,House: 2015-Present
Doug LaMalfa,CA,1.0,R,House: 2013-Present
Conor Lamb,PA,17.0,D,House: 2018-Present
Doug Lamborn,CO,5.0,R,House: 2007-Present
Leonard Lance,NJ,7.0,R,House: 2009-2019
James R. Langevin,RI,2.0,D,House: 2001-Present
Rick Larsen,WA,2.0,D,House: 2001-Present
John B. Larson,CT,1.0,D,House: 1999-Present
Robert E. Latta,OH,5.0,R,House: 2007-Present
Brenda L. Lawrence,MI,14.0,D,House: 2015-Present
Al Lawson Jr.,FL,5.0,D,House: 2017-Present
Barbara Lee,CA,13.0,D,House: 1997-Present
Debbie Lesko,AZ,8.0,R,House: 2018-Present
Sander M. Levin,MI,9.0,D,House: 1983-2019
Jason Lewis,MN,2.0,R,House: 2017-2019
John Lewis,GA,5.0,D,House: 1987-Present
Ted Lieu,CA,33.0,D,House: 2015-Present
Daniel Lipinski,IL,3.0,D,House: 2005-Present
Frank A. LoBiondo,NJ,2.0,R,House: 1995-2019
David Loebsack,IA,2.0,D,House: 2007-Present
Zoe Lofgren,CA,19.0,D,House: 1995-Present
Billy Long,MO,7.0,R,House: 2011-Present
Barry Loudermilk,GA,11.0,R,House: 2015-Present
Mia B. Love,UT,4.0,R,House: 2015-2019
Alan S. Lowenthal,CA,47.0,D,House: 2013-Present
Nita M. Lowey,NY,17.0,D,House: 1989-Present
Frank D. Lucas,OK,3.0,R,House: 1993-Present
Blaine Luetkemeyer,MO,3.0,R,House: 2009-Present
Michelle Lujan Grisham,NM,1.0,D,House: 2013-2019
Ben Ray Lujan,NM,3.0,D,House: 2009-Present
Stephen F. Lynch,MA,8.0,D,House: 2001-Present
Thomas MacArthur,NJ,3.0,R,House: 2015-2019
Carolyn B. Maloney,NY,12.0,D,House: 1993-Present
Sean Patrick Maloney,NY,18.0,D,House: 2013-Present
Kenny Marchant,TX,24.0,R,House: 2005-Present
Tom Marino,PA,12.0,R,House: 2011-2019
Roger W. Marshall,KS,1.0,R,House: 2017-Present
Thomas Massie,KY,4.0,R,House: 2012-Present
Brian J. Mast,FL,18.0,R,House: 2017-Present
Doris O. Matsui,CA,6.0,D,House: 2005-Present
Kevin McCarthy,CA,23.0,R,House: 2007-Present
Michael T. McCaul,TX,10.0,R,House: 2005-Present
Tom McClintock,CA,4.0,R,House: 2009-Present
Betty McCollum,MN,4.0,D,House: 2001-Present
A. Donald McEachin,VA,4.0,D,House: 2017-Present
James P. McGovern,MA,2.0,D,House: 1997-Present
Patrick T. McHenry,NC,10.0,R,House: 2005-Present
David B. McKinley,WV,1.0,R,House: 2011-Present
Cathy McMorris Rodgers,WA,5.0,R,House: 2005-Present
